Ref Des,Mid X(mm),Mid Y(mm),Rotation,Comment,Package,LCSC Part Number
PFMF.050.1,152.44,38.8,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,https://componentsearchengine.com/part-view/PFMF.050.2/SCHURTER
Q1,133.26,40.86,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,https://componentsearchengine.com/part-view/DMG2305UX-7/Diodes%20Incorporated
Q2,73.83,25.36,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,https://componentsearchengine.com/part-view/DMG2305UX-7/Diodes%20Incorporated
Q3,63.18,17.6,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,https://www.snapeda.com/parts/SI1308EDL-T1-GE3/Vishay+Siliconix/view-part/?ref=eda
R1,19.33,41.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R10,138.96,4.98,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R1_BAT,122.24,42.15,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R1_PINH,159.46,0.92,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R1_PINH1,93.66,58.19,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R1_PWRUSB,115.4,30.74,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R2,57.52,10.41,90,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R2-PINH,156.13,0.82,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R2-PINH1,86.08,45.84,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R2-USB,155.53,55.22,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R2-USB1,143.72,51.27,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R2_BAT,127.25,38.5,90,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
